,Feature,Importance
0,LIVE_CITY_NOT_WORK_CITY,17.429891692798947
1,REG_CITY_NOT_LIVE_CITY,15.356169912596103
2,REGION_RATING_CLIENT_W_CITY,8.360774899479022
3,AMT_INCOME_TOTAL,6.5023460581176105
4,CODE_GENDER,5.4130076123481405
5,FLAG_OWN_REALTY,5.200459199475323
6,FLAG_OWN_CAR,3.9537004186898788
7,AMT_CREDIT,3.676025078895771
8,NONLIVINGAPARTMENTS_MEDI,2.543031397697221
9,FLAG_DOCUMENT_16,1.9629825917330157
10,CNT_CHILDREN,1.560079627548538
11,NONLIVINGAREA_MEDI,1.428111530331963
12,FLAG_DOCUMENT_15,1.1703762966485705
13,FLAG_DOCUMENT_11,1.1638172904353135
14,FLAG_EMP_PHONE,1.0790675240662435
15,FLAG_DOCUMENT_10,0.949565121207703
16,FLAG_MOBIL,0.8664689732967256
17,FLAG_DOCUMENT_7,0.840378608006387
18,LIVINGAPARTMENTS_MODE,0.8152164838599126
19,FLAG_DOCUMENT_18,0.7213331590234806
20,DAYS_ID_PUBLISH,0.6837333092136131
21,FLOORSMAX_MEDI,0.6746716996746353
22,FLAG_DOCUMENT_17,0.6612591726566269
23,LANDAREA_AVG,0.6376266034562935
24,LIVINGAPARTMENTS_MEDI,0.5828620740583786
25,NAME_FAMILY_STATUS,0.5795600355998988
26,ENTRANCES_MEDI,0.553655183914146
27,FLOORSMIN_MEDI,0.5225486035246607
28,FLOORSMIN_MODE,0.491281600135472
29,FLAG_DOCUMENT_8,0.4819980955848703
30,FLAG_EMAIL,0.46788118703697124
31,FLOORSMIN_AVG,0.4638841612668853
32,FLAG_DOCUMENT_12,0.4514094723173267
33,DAYS_REGISTRATION,0.40385708627980366
34,ELEVATORS_MEDI,0.35457988136933816
35,FLAG_DOCUMENT_13,0.3400159852663767
36,SK_ID_CURR,0.32607929532280167
37,DAYS_LAST_PHONE_CHANGE,0.30216890965861004
38,DAYS_BIRTH,0.27244125458628526
39,FLAG_DOCUMENT_3,0.26931450546292807
40,FLAG_DOCUMENT_9,0.25073138012696994
41,NAME_EDUCATION_TYPE,0.22199035913606477
42,COMMONAREA_MEDI,0.21201547263041237
43,LIVINGAPARTMENTS_AVG,0.1655965022981253
44,CNT_FAM_MEMBERS,0.16462530989522373
45,FLAG_DOCUMENT_21,0.15703986536695094
46,FLAG_CONT_MOBILE,0.1519228384616139
47,HOUSETYPE_MODE,0.14988561419793084
48,OBS_60_CNT_SOCIAL_CIRCLE,0.14648080673992875
49,REGION_RATING_CLIENT,0.14370010893337218
50,FLAG_DOCUMENT_19,0.12880166083665237
51,FLAG_DOCUMENT_20,0.12723853145070171
52,DAYS_EMPLOYED,0.1031415694700639
53,FLAG_PHONE,0.08742658939135407
54,EMERGENCYSTATE_MODE,0.058162739121396315
55,FLAG_WORK_PHONE,0.04692210554950177
56,REGION_POPULATION_RELATIVE,0.01263342742885309
